Date,FUND_NET_ASSET_VAL,TOT_RETURN_INDEX_GROSS_DVDS,ALL_BROKERS_ADV_TOT_AGGR_VOL,FUND_FLOW,PX_LAST,TURNOVER,PX_VOLUME,AVERAGE_BID_ASK_SPREAD
12/29/2022,51.0021,69.723,907678,89.848,51.0375,2.50E+08,4576856,0.0102
12/28/2022,50.4709,69.0259,1122846,82.038,50.5219,2.25E+08,4093167,0.0103
12/27/2022,50.9384,69.7193,941365,82.0421,51.0294,1.85E+08,3353391,0.0108
12/23/2022,50.8651,69.5554,799120,109.0226,50.9095,1.71E+08,3100635,0.0121
12/22/2022,50.5562,69.1268,827897,66.1464,50.5957,1.96E+08,3595000,0.0107
12/21/2022,50.9389,69.6311,914912,49.3084,50.9648,1.90E+08,3440659,0.0103
12/20/2022,50.2979,68.7737,849697,88.3231,50.3373,1.95E+08,3567495,0.011
12/19/2022,50.2529,68.7233,1023111,98.1131,50.3004,2.20E+08,4034635,0.0114
12/16/2022,50.5358,69.1141,833462,83.0491,50.5865,2.65E+08,4840156,0.0119
12/15/2022,51.0003,69.7319,1220505,86.255,51.0387,2.66E+08,4807272,0.0108
12/14/2022,51.9185,70.8666,1122799,93.9563,51.8692,2.13E+08,3769490,0.0127
12/13/2022,52.0145,71.0179,795910,28.1318,51.9799,3.20E+08,5682782,0.0117
12/12/2022,51.763,70.9044,871613,69.0502,51.8968,1.58E+08,2824778,0.0109
12/9/2022,51.2332,70.0345,708770,33.657,51.2601,1.68E+08,3010408,0.0114
12/8/2022,51.588,70.4505,661713,16.6562,51.5646,2.02E+08,3607188,0.0106
12/7/2022,51.2951,70.0975,947082,67.0864,51.3063,1.95E+08,3500415,0.0115
12/6/2022,51.233,70.0597,1389623,29.1836,51.2786,1.98E+08,3562831,0.0108
12/5/2022,51.5452,70.501,966059,72.1768,51.6016,1.89E+08,3369025,0.0099
12/2/2022,51.9016,70.8035,697320,16.7577,51.823,1.66E+08,2960838,0.0117
12/1/2022,51.7716,70.7531,699636,59.0574,51.7861,2.37E+08,4228194,0.0122
11/30/2022,51.7381,70.815,838791,126.2346,51.8319,2.43E+08,4311524,0.0116
11/29/2022,51.2176,70.0293,799015,73.6805,51.2568,1.84E+08,3274117,0.0114
11/28/2022,51.2333,70.0542,742375,119.2275,51.275,1.65E+08,2934474,0.0109
11/25/2022,51.5513,70.4908,698410,33.6746,51.5945,74073690,1311115,0.0111
11/23/2022,51.4005,70.2538,319832,88.9443,51.4211,1.39E+08,2472706,0.0122
11/22/2022,51.2948,70.1041,615126,56.3074,51.3116,1.92E+08,3419954,0.0113
11/21/2022,51.0095,69.7175,968336,84.2874,51.0286,2.39E+08,4278027,0.0109
11/18/2022,50.7423,69.3309,654955,196.974,50.7456,1.84E+08,3318101,0.0111
11/17/2022,50.3748,68.7946,1324204,77.821,50.3531,1.68E+08,3045986,0.0106
11/16/2022,50.4129,68.8445,569644,15.1755,50.3896,1.50E+08,2720409,0.0113
11/15/2022,50.1779,68.6699,750514,26.2321,50.2618,2.57E+08,4676962,0.0109
11/14/2022,50.1523,68.5452,793239,54.9681,50.1705,1.93E+08,3505786,0.01
11/11/2022,50.1,68.4703,539508,93.3981,50.1157,1.50E+08,2727402,0.0114
11/10/2022,50.3421,68.832,574765,41.1621,50.3804,2.58E+08,4690352,0.0112
11/9/2022,49.2717,67.2481,794370,53.7693,49.2211,1.39E+08,2560279,0.0103
11/8/2022,49.6924,67.9714,623543,36.4334,49.7506,2.19E+08,4025159,0.0112
11/7/2022,49.4258,67.5474,617175,118.399,49.4402,1.64E+08,3042389,0.0102
11/4/2022,49.0905,67.0984,649149,75.8019,49.1116,1.68E+08,3141558,0.0117
11/3/2022,48.6275,66.4499,625737,47.0548,48.6369,2.03E+08,3804271,0.0109
11/2/2022,48.7108,66.5372,617846,117.1933,48.7008,1.99E+08,3686348,0.0143
11/1/2022,49.2368,67.2356,687496,13.3402,49.212,1.63E+08,3024847,0.0121
10/31/2022,49.2244,67.3019,678927,126.7524,49.261,2.77E+08,5064159,0.0104
10/28/2022,49.2929,67.3759,1745453,115.8749,49.3152,1.82E+08,3344463,0.0123
10/27/2022,48.5693,66.3769,476002,86.0034,48.584,1.51E+08,2797049,0.0119
10/26/2022,48.396,66.1179,524812,76.6703,48.3944,2.01E+08,3752427,0.0114
10/25/2022,48.234,65.8959,763453,80.4176,48.2319,2.31E+08,4329641,0.0113
10/24/2022,47.788,65.3409,1237370,66.7904,47.8257,2.03E+08,3827137,0.0126
10/21/2022,47.3138,64.6626,1137487,60.8789,47.3292,1.12E+08,2154364,0.0146
10/20/2022,46.5985,63.6636,389820,53.7232,46.598,97742610,1883851,0.014
10/19/2022,47.0869,64.2803,382034,15.4861,47.0494,2.07E+08,3974410,0.0149
10/18/2022,47.373,64.7489,696430,82.1544,47.3924,1.55E+08,2947454,0.0148
10/17/2022,46.9541,64.1323,483192,49.8546,46.9411,1.58E+08,3039093,0.0126
10/14/2022,46.1346,63.0593,506714,28.6079,46.1557,1.48E+08,2885795,0.0144
10/13/2022,46.8059,63.9473,482249,17.8873,46.8057,2.56E+08,5004343,0.0144
10/12/2022,45.8995,62.751,780305,25.9251,45.93,1.28E+08,2510224,0.0118
10/11/2022,46.1589,63.0593,487747,64.8288,46.1557,1.68E+08,3286911,0.0125
10/10/2022,46.2132,63.2073,626155,7.67,46.264,1.52E+08,2958297,0.0123
10/7/2022,46.2885,63.2936,452861,20.4775,46.3272,1.55E+08,3006897,0.0118
10/6/2022,47.1173,64.4159,556411,20.5109,47.1487,1.52E+08,2895416,0.0118
10/5/2022,47.6459,65.1436,412499,41.7562,47.6813,1.59E+08,3027758,0.0118
10/4/2022,47.7763,65.3039,675635,-1.3195,47.7986,1.55E+08,2927731,0.015
