Date,FUND_NET_ASSET_VAL,TOT_RETURN_INDEX_GROSS_DVDS,ALL_BROKERS_ADV_TOT_AGGR_VOL,FUND_FLOW,PX_LAST,TURNOVER,PX_VOLUME,AVERAGE_BID_ASK_SPREAD
3/15/2022,25.7139,26.6064,121423,13.4882,25.7254,35240090,1344531,0.0158
3/14/2022,25.2394,26.1219,194106,0,25.257,29472230,1137804,0.0165
3/11/2022,25.4123,26.2834,61026,15.5172,25.4131,27329700,1040937,0.0169
3/10/2022,25.7,26.6064,28661,15.6235,25.7254,37202540,1419310,0.0144
3/9/2022,25.7749,26.6669,33446,7.9002,25.784,31819910,1203851,0.0161
3/8/2022,25.1319,26.0058,50711,-2.6411,25.1448,55824440,2145580,0.0165
3/7/2022,25.2347,26.1219,61660,20.6014,25.257,52032720,1996555,0.0162
3/4/2022,26.0496,26.9596,55962,33.6144,26.067,53464380,2009395,0.0151
3/3/2022,26.3445,27.2725,38111,29.3614,26.3696,36189730,1338144,0.0165
3/2/2022,26.4905,27.4138,48698,0,26.5062,38180530,1405597,0.02
3/1/2022,25.9134,26.8082,53558,24.4295,25.9206,27602780,1037544,0.0161
2/28/2022,26.3993,27.323,51115,5.3105,26.4184,28579250,1062715,0.0166
2/25/2022,26.4551,27.3634,71211,24.3454,26.4574,26357330,977508,0.0159
2/24/2022,25.8126,26.7174,27521,16.2646,25.8328,81211070,3119018,0.0183
2/23/2022,25.4721,26.3439,39158,5.2899,25.4717,31292620,1187255,0.0156
2/22/2022,25.93,26.8082,39814,7.8301,25.9206,25780800,966396,0.017
2/18/2022,26.2396,27.1514,54839,7.9709,26.2524,21343300,792745,0.0167
2/17/2022,26.3858,27.2826,21151,21.5094,26.3793,30074910,1106188,0.0179
2/16/2022,26.9373,27.8882,25472,13.5183,26.9649,26735070,970853,0.0189
2/15/2022,26.8879,27.8277,30800,16.5611,26.9063,23248260,845882,0.0154
2/14/2022,26.4057,27.3129,17444,8.2653,26.4086,29874380,1105055,0.0203
2/11/2022,26.5151,27.434,51375,0,26.5257,23011080,841780,0.0197
2/10/2022,26.9456,27.8579,34520,8.1507,26.9356,25188260,908121,0.0203
2/9/2022,27.3932,28.3424,11040,30.3713,27.404,26748860,954467,0.0156
2/8/2022,26.9999,27.9286,25695,2.8069,27.0039,28763320,1041988,0.0208
2/7/2022,26.6561,27.5955,59076,19.3661,26.6819,26981950,984506,0.0196
2/4/2022,26.6872,27.6157,14027,0,26.7014,18665590,680707,0.0206
2/3/2022,26.5891,27.535,26432,8.2036,26.6233,18509260,675133,0.023
2/2/2022,27.1406,28.0699,10428,8.1735,27.1405,26421360,952272,0.0201
2/1/2022,26.9696,27.9084,545462,25.0291,26.9844,33968560,1235838,0.0211
1/31/2022,26.7461,27.6662,387104,16.5809,26.7502,27972980,1029158,0.0197
1/28/2022,26.2562,27.1817,431430,19.1841,26.2817,42273560,1592950,0.021
1/27/2022,25.7257,26.6265,3553900,2.6904,25.745,43234720,1633768,0.0211
1/26/2022,25.9192,26.7779,609020,18.4522,25.8914,33930580,1264190,0.0246
1/25/2022,26.0381,26.9596,504500,5.3117,26.067,41258110,1547100,0.0238
1/24/2022,26.3744,27.2725,3698352,13.3402,26.3696,63061070,2381994,0.0237
1/21/2022,26.1353,27.0404,5684687,45.9425,26.1451,79464350,2937864,0.025
1/20/2022,26.5955,27.5249,25501297,48.204,26.6135,49300270,1780249,0.0192
1/19/2022,26.9671,27.9185,399946,21.8012,26.9941,28787550,1032678,0.0223
1/18/2022,27.2843,28.2213,3375600,2.7632,27.2869,28771070,1025475,0.0196
1/14/2022,27.8467,28.7966,276783,0,27.8432,21511780,757379,0.0189
1/13/2022,27.8415,28.8269,236366,14.2668,27.8725,20280590,705681,0.019
1/12/2022,28.0855,29.0692,293280,22.8226,28.1067,27325060,949007,0.0205
1/11/2022,28.0674,29.0591,348908,5.7557,28.0969,27025230,943512,0.0261
1/10/2022,27.8076,28.7563,296460,20.1318,27.8042,35532680,1258706,0.0199
1/7/2022,27.8871,28.8673,330326,-2.8494,27.9115,34026520,1187413,0.0198
1/6/2022,28.0268,28.9783,453865,11.43,28.0189,29484700,1024705,0.0225
1/5/2022,27.9789,28.9581,365922,28.7181,27.9994,34497190,1189357,0.0218
1/4/2022,28.5196,29.483,239887,5.7338,28.5068,30159740,1031536,0.0182
1/3/2022,28.406,29.372,323728,17.5339,28.3995,35599670,1225045,0.0218
12/31/2021,28.2805,29.2407,364874,5.8213,28.2726,21234870,731657,0.0195
12/30/2021,28.3043,29.3013,129972,0,28.3312,28471180,976955,0.0192
