Date,FUND_NET_ASSET_VAL,TOT_RETURN_INDEX_GROSS_DVDS,ALL_BROKERS_ADV_TOT_AGGR_VOL,FUND_FLOW,PX_LAST,TURNOVER,PX_VOLUME,AVERAGE_BID_ASK_SPREAD
11/9/2018,44.9366,51.4954,826281,0,44.9499,30690000,611629,0.009
11/8/2018,44.9312,51.5005,459160,20.0621,44.9544,49664040,989843,0.0091
11/7/2018,44.9295,51.4954,475884,12.5373,44.9499,1.41E+08,2820052,0.009
11/6/2018,44.9296,51.4954,597489,0,44.9499,42255990,842207,0.009
11/5/2018,44.9282,51.5005,382660,37.6105,44.9544,82294350,1640118,0.0093
11/2/2018,44.9176,51.4954,478992,40.1166,44.9499,79952660,1593719,0.009
11/1/2018,44.9208,51.4944,828520,37.6004,44.949,53259200,1061772,0.009
10/31/2018,44.9141,51.4903,544210,32.5894,44.9454,52686180,1050290,0.009
10/30/2018,44.9161,51.4892,823771,50.13,44.9444,70286960,1398681,0.009
10/29/2018,44.9192,51.484,745133,32.6419,44.94,40210550,800335,0.0089
10/26/2018,44.9105,51.4892,530426,15.0665,44.9444,44465370,884948,0.0092
10/25/2018,44.9104,51.4789,320776,40.1696,44.9355,83098090,1654178,0.0096
10/24/2018,44.9046,51.4584,393629,0,44.9176,42886130,853889,0.0094
10/23/2018,44.8983,51.4635,326678,7.5308,44.9221,2.08E+08,4135495,0.009
10/22/2018,44.8935,51.4379,3149338,195.774,44.8997,30596120,609298,0.0093
10/19/2018,44.885,51.4482,494387,2.5097,44.9087,2.57E+08,5112506,0.0091
10/18/2018,44.8865,51.4584,500738,278.519,44.9176,47616500,948209,0.0089
10/17/2018,44.8849,51.4584,854573,15.0556,44.9176,51539270,1026346,0.0098
10/16/2018,44.8856,51.4482,753711,15.055,44.9087,53085050,1057344,0.0093
10/15/2018,44.882,51.4379,315442,15.0553,44.8997,55396880,1103441,0.0095
10/12/2018,44.8735,51.4379,688670,37.6351,44.8997,65989500,1314578,0.0089
10/11/2018,44.8725,51.4328,638685,65.222,44.8952,78093820,1555856,0.0095
10/10/2018,44.8698,51.4277,932890,0,44.8908,68184420,1358423,0.01
10/9/2018,44.8666,51.4277,402866,37.6249,44.8908,76376650,1521788,0.0098
10/8/2018,44.8635,51.4277,1186007,82.769,44.8908,41834270,833599,0.0096
10/5/2018,44.8543,51.4174,605954,0,44.8818,31252320,622826,0.0107
10/4/2018,44.854,51.4174,405374,30.0895,44.8818,30012610,598131,0.0089
10/3/2018,44.8514,51.4072,499952,0,44.8729,26650450,531137,0.0089
10/2/2018,44.851,51.4174,317135,2.5073,44.8818,49932220,995265,0.0093
10/1/2018,44.8463,51.4072,641385,2.5073,44.8729,31804620,634001,0.0101
9/28/2018,44.8387,51.3867,377294,2.507,44.855,43213130,861541,0.009
9/27/2018,44.8339,51.4002,453603,42.612,44.8668,27845460,554044,0.009
9/26/2018,44.8294,51.3797,339943,7.535,44.8489,32685730,650392,0.0092
9/25/2018,44.8285,51.39,444825,7.5342,44.8579,35898500,714299,0.0093
9/24/2018,44.8262,51.3797,235641,10.0454,44.8489,24424600,486016,0.0091
9/21/2018,44.8179,51.3797,305138,2.5112,44.8489,29123240,579704,0.0095
9/20/2018,44.8183,51.3695,431524,2.5108,44.84,24867510,494966,0.009
9/19/2018,44.8128,51.3695,307355,25.1079,44.84,31527320,627569,0.0107
9/18/2018,44.8113,51.3491,385349,7.5314,44.8222,42888950,853906,0.0095
9/17/2018,44.8067,51.3593,438605,5.0208,44.8311,39080140,778052,0.0089
9/14/2018,44.7969,51.3491,511679,5.0203,44.8222,34255990,682158,0.0095
9/13/2018,44.7951,51.3388,314290,25.0959,44.8132,32883140,655038,0.0091
9/12/2018,44.7915,51.3235,346910,0,44.7998,23694070,471968,0.0092
9/11/2018,44.7857,51.3286,292960,2.5093,44.8043,42961260,855733,0.0094
9/10/2018,44.7845,51.3286,722641,0,44.8043,27101040,539800,0.01
9/7/2018,44.7754,51.3184,344828,5.0178,44.7954,40531360,807534,0.0097
9/6/2018,44.7781,51.3286,345342,0,44.8043,43412940,864973,0.0092
9/5/2018,44.7732,51.2979,396186,0,44.7775,36524150,727979,0.009
9/4/2018,44.7705,51.2979,327190,0,44.7775,1.62E+08,3227363,0.0092
8/31/2018,44.7598,51.3082,650646,20.0648,44.7865,42066730,838196,0.009
8/30/2018,44.759,51.3072,612859,25.075,44.7856,42869220,852822,0.0089
8/29/2018,44.7545,51.3072,514716,45.2161,44.7856,40705410,809916,0.01
8/28/2018,44.7499,51.2868,308958,27.6293,44.7678,46794400,931078,0.0093
8/27/2018,44.7469,51.3021,390437,27.6264,44.7812,34767560,691684,0.0108
8/24/2018,44.7409,51.2766,533013,15.068,44.7589,49518530,985472,0.0099
