Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
RWE,RWE Aktiengesellschaft,Utilities,Independent Power and Renewable Electricity Producers,38.06,0.79%,-5.12%,-5.00
IFX,Infineon Technologies AG,Information Technology,Semiconductors and Semiconductor Equipment,33.40,0.77%,6.96%,5.82
8001,ITOCHU Corporation,Industrials,Trading Companies and Distributors,5925.00,0.77%,42.69%,26.75
BNP,BNP Paribas SA,Financials,Banks,56.46,0.76%,14.78%,11.45
SIE,Siemens Aktiengesellschaft,Industrials,Industrial Conglomerates,147.66,0.76%,17.72%,13.39
1299,AIA Group Limited,Financials,Insurance,72.60,0.76%,-0.53%,-0.47
AIR,Airbus SE,Industrials,Aerospace and Defense,133.76,0.73%,18.82%,13.52
ENGI,Engie SA,Utilities,Multi-Utilities,15.54,0.73%,17.77%,12.80
GSK,GSK plc,Health Care,Pharmaceuticals,14.17,0.71%,5.47%,4.31
TTE,TotalEnergies SE,Energy,Oil Gas and Consumable Fuels,62.95,0.70%,21.05%,14.25
LR,Legrand SA,Industrials,Electrical Equipment,87.58,0.69%,13.42%,9.53
ZURN,Zurich Insurance Group AG,Financials,Insurance,433.10,0.68%,2.62%,2.03
SSE,SSE plc,Utilities,Electric Utilities,17.89,0.68%,11.56%,8.24
8766,Tokio Marine Holdings Inc.,Financials,Insurance,3631.00,0.66%,32.71%,18.97
7741,HOYA Corporation,Health Care,Health Care Equipment and Supplies,16530.00,0.65%,15.15%,9.93
MUV2,Mnchener Rckversicherungs-Gesellschaft Aktiengesellschaft in Mnchen,Financials,Insurance,387.20,0.64%,36.38%,19.76
LONN,Lonza Group AG,Health Care,Life Sciences Tools and Services,352.80,0.64%,-28.83%,-29.99
4568,Daiichi Sankyo Company Limited,Health Care,Pharmaceuticals,4005.00,0.63%,-14.10%,-12.07
9432,Nippon Telegraph and Telephone Corporation,Communication Services,Diversified Telecommunication Services,173.90,0.63%,14.57%,9.31
STAN,Standard Chartered PLC,Financials,Banks,6.62,0.63%,16.52%,10.38
DHL,Deutsche Post AG,Industrials,Air Freight and Logistics,40.90,0.63%,12.22%,7.96
HSBA,HSBC Holdings plc,Financials,Banks,6.13,0.62%,35.98%,19.26
CFR,Compagnie Financire Richemont SA,Consumer Discretionary,Textiles Apparel and Luxury Goods,113.05,0.60%,1.76%,1.22
UCG,UniCredit S.p.A.,Financials,Banks,24.82,0.60%,97.05%,34.47
IHG,InterContinental Hotels Group PLC,Consumer Discretionary,Hotels Restaurants and Leisure,61.62,0.59%,32.14%,16.76
D05,DBS Group Holdings Ltd,Financials,Banks,31.80,0.58%,-3.29%,-2.30
ITX,Industria de Diseo Textil S.A.,Consumer Discretionary,Specialty Retail,36.88,0.56%,55.61%,23.50
4543,Terumo Corporation,Health Care,Health Care Equipment and Supplies,4656.00,0.56%,16.29%,9.11
7267,Honda Motor Co. Ltd.,Consumer Discretionary,Automobiles,1530.00,0.55%,40.15%,18.37
LLOY,Lloyds Banking Group plc,Financials,Banks,0.43,0.54%,-1.32%,-0.84
ULVR,Unilever PLC,Consumer Staples,Personal Care Products,38.05,0.53%,-4.07%,-2.62
CSL,CSL Limited,Health Care,Biotechnology,256.80,0.52%,-12.51%,-8.62
6902,DENSO Corporation,Consumer Discretionary,Automobile Components,2386.50,0.51%,26.69%,12.62
5108,Bridgestone Corporation,Consumer Discretionary,Automobile Components,5934.00,0.51%,14.68%,7.66
