Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
IT,Gartner Inc.,Information Technology,IT Services,414.50,0.10%,23.64%,2.01
PPG,PPG Industries Inc.,Materials,Chemicals,129.28,0.10%,1.26%,0.13
CTRA,Coterra Energy Inc.,Energy,Oil Gas and Consumable Fuels,26.99,0.10%,1.01%,0.10
FAST,Fastenal Company,Industrials,Trading Companies and Distributors,59.64,0.10%,18.12%,1.59
LPLA,LPL Financial Holdings Inc.,Financials,Capital Markets,226.57,0.10%,-0.13%,-0.01
BKR,Baker Hughes Company,Energy,Energy Equipment and Services,34.47,0.10%,13.84%,1.26
KMI,Kinder Morgan Inc.,Energy,Oil Gas and Consumable Fuels,16.52,0.10%,-5.69%,-0.62
FCNCA,First Citizens BancShares Inc.,Financials,Banks,1407.40,0.10%,69.63%,4.24
WMB,The Williams Companies Inc.,Energy,Oil Gas and Consumable Fuels,34.93,0.10%,8.30%,0.79
RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,Hotels Restaurants and Leisure,97.81,0.10%,67.25%,4.09
JCI,Johnson Controls International plc,Industrials,Building Products,50.79,0.10%,-21.65%,-2.80
BDX,Becton Dickinson and Company,Health Care,Health Care Equipment and Supplies,235.86,0.10%,5.12%,0.49
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment,42.29,0.09%,175.54%,6.37
LULU,Lululemon Athletica Inc.,Consumer Discretionary,Textiles Apparel and Luxury Goods,416.98,0.09%,15.92%,1.36
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,38.73,0.09%,-14.87%,-1.73
ACGL,Arch Capital Group Ltd.,Financials,Insurance,86.57,0.09%,52.49%,3.37
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,196.10,0.09%,-4.45%,-0.45
NOC,Northrop Grumman Corporation,Industrials,Aerospace and Defense,464.38,0.09%,-4.26%,-0.43
BBY,Best Buy Co. Inc.,Consumer Discretionary,Specialty Retail,63.84,0.09%,-10.20%,-1.11
VST,Vistra Corp.,Utilities,Independent Power and Renewable Electricity Producers,34.40,0.09%,47.19%,3.11
LHX,L3Harris Technologies Inc.,Industrials,Aerospace and Defense,183.85,0.09%,-16.25%,-1.88
NEE,NextEra Energy Inc.,Utilities,Electric Utilities,54.50,0.09%,-32.94%,-4.76
DG,Dollar General Corporation,Consumer Staples,Consumer Staples Distribution and Retail,117.39,0.09%,-52.22%,-10.58
CMG,Chipotle Mexican Grill Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,2150.43,0.09%,42.76%,2.90
TRGP,Targa Resources Corp.,Energy,Oil Gas and Consumable Fuels,84.91,0.09%,19.68%,1.59
TT,Trane Technologies plc,Industrials,Building Products,224.44,0.09%,29.53%,2.19
TFC,Truist Financial Corporation,Financials,Banks,29.35,0.09%,-33.84%,-4.85
PAYX,Paychex Inc.,Industrials,Professional Services,114.48,0.09%,-2.51%,-0.24
