Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
SBUX,Starbucks Corporation,Consumer Discretionary,Hotels Restaurants and Leisure,103.51,0.72%,8.53%,6.43
BKNG,Booking Holdings Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,3119.21,0.71%,54.74%,28.67
TJX,The TJX Companies Inc.,Consumer Discretionary,Specialty Retail,91.14,0.67%,25.25%,15.43
VZ,Verizon Communications Inc.,Communication Services,Diversified Telecommunication Services,35.82,0.65%,0.39%,0.29
MMC,Marsh & McLennan Companies Inc.,Financials,Insurance,200.17,0.65%,21.88%,13.37
BMY,Bristol-Myers Squibb Company,Health Care,Pharmaceuticals,50.15,0.64%,-31.63%,-33.88
IBM,International Business Machines Corporation,Information Technology,IT Services,148.10,0.64%,8.58%,5.76
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,Biotechnology,378.92,0.63%,24.95%,14.36
GILD,Gilead Sciences Inc.,Health Care,Biotechnology,74.93,0.63%,-4.96%,-3.73
LMT,Lockheed Martin Corporation,Industrials,Aerospace and Defense,445.03,0.61%,-1.55%,-1.10
SNPS,Synopsys Inc.,Information Technology,Software,522.88,0.58%,57.78%,24.36
ABT,Abbott Laboratories,Health Care,Health Care Equipment and Supplies,95.79,0.58%,-6.13%,-4.30
PANW,Palo Alto Networks Inc.,Information Technology,Software,255.64,0.56%,54.63%,22.40
ADI,Analog Devices Inc.,Information Technology,Semiconductors and Semiconductor Equipment,170.66,0.56%,5.98%,3.57
ADP,Automatic Data Processing Inc.,Industrials,Professional Services,226.35,0.56%,-7.23%,-4.93
KLAC,KLA Corporation,Information Technology,Semiconductors and Semiconductor Equipment,528.25,0.54%,41.10%,17.96
WM,Waste Management Inc.,Industrials,Commercial Services and Supplies,171.69,0.54%,10.46%,5.79
CDNS,Cadence Design Systems Inc.,Information Technology,Software,263.94,0.53%,58.14%,22.12
MCK,McKesson Corporation,Health Care,Health Care Providers and Services,470.64,0.52%,32.89%,14.54
BLK,BlackRock Inc.,Financials,Capital Markets,661.45,0.51%,-12.14%,-8.05
AON,Aon plc,Financials,Insurance,333.61,0.51%,14.72%,7.42
MO,Altria Group Inc.,Consumer Staples,Tobacco,40.00,0.51%,-1.93%,-1.14
LRCX,Lam Research Corporation,Information Technology,Semiconductors and Semiconductor Equipment,673.43,0.50%,36.24%,15.25
ORLY,O'Reilly Automotive Inc.,Consumer Discretionary,Specialty Retail,995.92,0.48%,22.11%,9.87
COP,ConocoPhillips,Energy,Oil Gas and Consumable Fuels,115.36,0.48%,-9.82%,-5.92
ZTS,Zoetis Inc.,Health Care,Pharmaceuticals,168.83,0.48%,14.69%,6.95
ITW,Illinois Tool Works Inc.,Industrials,Machinery,232.11,0.46%,4.87%,2.46
AJG,Arthur J. Gallagher & Co.,Financials,Insurance,247.75,0.46%,34.62%,13.36
AZO,AutoZone Inc.,Consumer Discretionary,Specialty Retail,2707.12,0.44%,12.38%,5.56
AFL,Aflac Incorporated,Financials,Insurance,81.43,0.44%,19.24%,8.15
REGN,Regeneron Pharmaceuticals Inc.,Health Care,Biotechnology,796.70,0.44%,8.48%,3.91
CL,Colgate-Palmolive Company,Consumer Staples,Household Products,75.95,0.44%,4.48%,2.15
MCO,Moody's Corporation,Financials,Capital Markets,343.51,0.44%,11.77%,5.26
CB,Chubb Limited,Financials,Insurance,222.00,0.43%,9.47%,4.19
